TITLE     = "CFD++ results at NT=2400, TAU=0.000000"
VARIABLES = "X"
"dp/p"
ZONE T="Extracted Points"
 STRANDID=0, SOLUTIONTIME=0
 I=973, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 0.26419088E+02   0.84673178E-02
 0.26647426E+02   0.85085834E-02
 0.26875764E+02   0.85498490E-02
 0.27104102E+02   0.85911146E-02
 0.27332440E+02   0.86323802E-02
 0.27560778E+02   0.86736458E-02
 0.27789116E+02   0.87149114E-02
 0.28017454E+02   0.87561770E-02
 0.28245792E+02   0.87974426E-02
 0.28474130E+02   0.88387082E-02
 0.28702468E+02   0.88799738E-02
 0.28930806E+02   0.89212394E-02
 0.29159144E+02   0.89625050E-02
 0.29387481E+02   0.90037706E-02
 0.29615819E+02   0.90450362E-02
 0.29844157E+02   0.90863018E-02
 0.30072495E+02   0.91275674E-02
 0.30300833E+02   0.91688330E-02
 0.30529171E+02   0.92100986E-02
 0.30757509E+02   0.92513642E-02
 0.30985847E+02   0.92926298E-02
 0.31214185E+02   0.93338954E-02
 0.31442523E+02   0.93751610E-02
 0.31670861E+02   0.94164266E-02
 0.31899199E+02   0.94576922E-02
 0.32127537E+02   0.94989578E-02
 0.32355875E+02   0.95402234E-02
 0.32584213E+02   0.95814890E-02
 0.32812551E+02   0.96227546E-02
 0.33040889E+02   0.96640202E-02
 0.33269227E+02   0.97052858E-02
 0.33497565E+02   0.97465514E-02
 0.33725903E+02   0.97878170E-02
 0.33954241E+02   0.98290826E-02
 0.34182579E+02   0.98703482E-02
 0.34410917E+02   0.99116138E-02
 0.34639255E+02   0.99528794E-02
 0.34867593E+02   0.99941450E-02
 0.35095931E+02   0.10035411E-01
 0.35324269E+02   0.10076676E-01
 0.35552606E+02   0.10117942E-01
 0.35780944E+02   0.10159207E-01
 0.36009282E+02   0.10200473E-01
 0.36237620E+02   0.10241739E-01
 0.36465958E+02   0.10283004E-01
 0.36694296E+02   0.10324270E-01
 0.36922634E+02   0.10365535E-01
 0.37150972E+02   0.10406801E-01
 0.37379310E+02   0.10448067E-01
 0.37607648E+02   0.10489332E-01
 0.37835986E+02   0.10530598E-01
 0.38064324E+02   0.10571863E-01
 0.38292662E+02   0.10613129E-01
 0.38521000E+02   0.10654395E-01
 0.38749338E+02   0.10695660E-01
 0.38977676E+02   0.10736926E-01
 0.39206014E+02   0.10778191E-01
 0.39434352E+02   0.10819457E-01
 0.39662690E+02   0.10860723E-01
 0.39891028E+02   0.10901988E-01
 0.40119366E+02   0.10943254E-01
 0.40347704E+02   0.10984519E-01
 0.40576042E+02   0.11025785E-01
 0.40804380E+02   0.11067051E-01
 0.41032718E+02   0.11108316E-01
 0.41261056E+02   0.11149582E-01
 0.41489394E+02   0.11190847E-01
 0.41717731E+02   0.11232113E-01
 0.41946069E+02   0.11273379E-01
 0.42174407E+02   0.11314644E-01
 0.42402745E+02   0.11355910E-01
 0.42631083E+02   0.11397175E-01
 0.42859421E+02   0.11438441E-01
 0.43087759E+02   0.11479707E-01
 0.43316097E+02   0.11520972E-01
 0.43544435E+02   0.11562238E-01
 0.43772773E+02   0.11603503E-01
 0.44001111E+02   0.11644769E-01
 0.44229449E+02   0.11686035E-01
 0.44457787E+02   0.11727300E-01
 0.44686125E+02   0.11768566E-01
 0.44914463E+02   0.11809831E-01
 0.45142801E+02   0.11851097E-01
 0.45371139E+02   0.11892363E-01
 0.45599477E+02   0.11933628E-01
 0.45827815E+02   0.11974894E-01
 0.46056153E+02   0.12016159E-01
 0.46284491E+02   0.11901719E-01
 0.46512829E+02   0.11710138E-01
 0.46741167E+02   0.11518557E-01
 0.46969505E+02   0.11326976E-01
 0.47197843E+02   0.11135395E-01
 0.47426181E+02   0.10943814E-01
 0.47654519E+02   0.10752233E-01
 0.47882856E+02   0.10560652E-01
 0.48111194E+02   0.10369070E-01
 0.48339532E+02   0.10177489E-01
 0.48567870E+02   0.99859082E-02
 0.48796208E+02   0.97943271E-02
 0.49024546E+02   0.96027460E-02
 0.49252884E+02   0.94111649E-02
 0.49481222E+02   0.92195838E-02
 0.49709560E+02   0.90280027E-02
 0.49937898E+02   0.88364216E-02
 0.50166236E+02   0.86448405E-02
 0.50394574E+02   0.84532594E-02
 0.50622912E+02   0.82616783E-02
 0.50851250E+02   0.80700972E-02
 0.51079588E+02   0.78785161E-02
 0.51307926E+02   0.76869350E-02
 0.51536264E+02   0.74953539E-02
 0.51764602E+02   0.73037728E-02
 0.51992940E+02   0.71121917E-02
 0.52221278E+02   0.69206106E-02
 0.52449616E+02   0.67290296E-02
 0.52677954E+02   0.65374485E-02
 0.52906292E+02   0.63458674E-02
 0.53134630E+02   0.61542863E-02
 0.53362968E+02   0.59627052E-02
 0.53591306E+02   0.57711241E-02
 0.53819644E+02   0.55795430E-02
 0.54047981E+02   0.53879619E-02
 0.54276319E+02   0.51963808E-02
 0.54504657E+02   0.50047997E-02
 0.54732995E+02   0.48132186E-02
 0.54961333E+02   0.46216375E-02
 0.55189671E+02   0.44300564E-02
 0.55418009E+02   0.42384753E-02
 0.55646347E+02   0.40468942E-02
 0.55874685E+02   0.38553131E-02
 0.56103023E+02   0.36637320E-02
 0.56331361E+02   0.34721509E-02
 0.56559699E+02   0.32805698E-02
 0.56788037E+02   0.30889887E-02
 0.57016375E+02   0.28974076E-02
 0.57244713E+02   0.27058265E-02
 0.57473051E+02   0.25142454E-02
 0.57701389E+02   0.23226643E-02
 0.57929727E+02   0.21310832E-02
 0.58158065E+02   0.19395021E-02
 0.58386403E+02   0.17479210E-02
 0.58614741E+02   0.15563399E-02
 0.58843079E+02   0.13647588E-02
 0.59071417E+02   0.11731777E-02
 0.59299755E+02   0.98159659E-03
 0.59528093E+02   0.79001549E-03
 0.59756431E+02   0.59843439E-03
 0.59984769E+02   0.40685329E-03
 0.60213106E+02   0.21527220E-03
 0.60441444E+02   0.23691097E-04
 0.60669782E+02  -0.16789000E-03
 0.60898120E+02  -0.35947110E-03
 0.61126458E+02  -0.55105220E-03
 0.61354796E+02  -0.74263330E-03
 0.61583134E+02  -0.93421440E-03
 0.61811472E+02  -0.11257955E-02
 0.62039810E+02  -0.13173766E-02
 0.62268148E+02  -0.15089577E-02
 0.62496486E+02  -0.17005388E-02
 0.62724824E+02  -0.18921199E-02
 0.62953162E+02  -0.20837010E-02
 0.63181500E+02  -0.22752821E-02
 0.63409838E+02  -0.24668632E-02
 0.63638176E+02  -0.26584443E-02
 0.63866514E+02  -0.28500254E-02
 0.64094852E+02  -0.30416065E-02
 0.64323190E+02  -0.32331876E-02
 0.64551528E+02  -0.34247687E-02
 0.64779866E+02  -0.36163498E-02
 0.65008204E+02  -0.38079309E-02
 0.65236542E+02  -0.39995120E-02
 0.65464880E+02  -0.41910931E-02
 0.65693218E+02  -0.43826742E-02
 0.65921556E+02  -0.45742553E-02
 0.66149894E+02  -0.45811291E-02
 0.66378231E+02  -0.45719631E-02
 0.66606569E+02  -0.45627970E-02
 0.66834907E+02  -0.45536310E-02
 0.67063245E+02  -0.45444649E-02
 0.67291583E+02  -0.45352989E-02
 0.67519921E+02  -0.45261328E-02
 0.67748259E+02  -0.45169668E-02
 0.67976597E+02  -0.45078007E-02
 0.68204935E+02  -0.44986347E-02
 0.68433273E+02  -0.44894686E-02
 0.68661611E+02  -0.44803026E-02
 0.68889949E+02  -0.44711365E-02
 0.69118287E+02  -0.44619704E-02
 0.69346625E+02  -0.44528044E-02
 0.69574963E+02  -0.44436383E-02
 0.69803301E+02  -0.44344723E-02
 0.70031639E+02  -0.44253062E-02
 0.70259977E+02  -0.44161402E-02
 0.70488315E+02  -0.44069741E-02
 0.70716653E+02  -0.43978081E-02
 0.70944991E+02  -0.43886420E-02
 0.71173329E+02  -0.43794760E-02
 0.71401667E+02  -0.43703099E-02
 0.71630005E+02  -0.43611439E-02
 0.71858343E+02  -0.43519778E-02
 0.72086681E+02  -0.43428118E-02
 0.72315019E+02  -0.43336457E-02
 0.72543356E+02  -0.43244797E-02
 0.72771694E+02  -0.43153136E-02
 0.73000032E+02  -0.43061476E-02
 0.73228370E+02  -0.42969815E-02
 0.73456708E+02  -0.42878155E-02
 0.73685046E+02  -0.42786494E-02
 0.73913384E+02  -0.42694833E-02
 0.74141722E+02  -0.42603173E-02
 0.74370060E+02  -0.42511512E-02
 0.74598398E+02  -0.42419852E-02
 0.74826736E+02  -0.42328191E-02
 0.75055074E+02  -0.42236531E-02
 0.75283412E+02  -0.42144870E-02
 0.75511750E+02  -0.42053210E-02
 0.75740088E+02  -0.41961549E-02
