VARIABLES= x,y,z,cp
 zone  i=           8  j=          37
   9.567480      0.0000000E+00  0.9581700     -6.2102098E-03
   9.535250      0.2590800      0.9466000     -5.6335898E-03
   9.504650      0.5219800      0.9177600     -5.5221100E-03
   9.474660      0.7880700      0.8657500     -4.6131602E-03
   9.445290       1.052040      0.7828000     -2.7860799E-03
   9.417080       1.305970      0.6687100      6.3675200E-04
   9.390980       1.540740      0.5398300     -7.6550501E-03
   9.365850       1.771070      0.4175200     -2.6570600E-02
   10.16720      0.0000000E+00  0.9997500     -4.2031500E-03
   10.13680      0.2673700      0.9879800     -4.2973598E-03
   10.10790      0.5386100      0.9583500     -4.2049298E-03
   10.07960      0.8128500      0.9047900     -4.1858698E-03
   10.05190       1.084860      0.8191500     -3.5512899E-03
   10.02540       1.346180      0.6998900     -7.4564898E-04
   10.00110       1.586550      0.5667500     -9.0176398E-03
   9.977290       1.827510      0.4460600     -2.8004499E-02
   10.76710      0.0000000E+00   1.039670     -3.6870099E-03
   10.73840      0.2757000       1.027710     -4.0559298E-03
   10.71130      0.5552300      0.9973700     -3.7521699E-03
   10.68470      0.8375800      0.9425100     -3.5368500E-03
   10.65860       1.117690      0.8544600     -2.9166599E-03
   10.63390       1.386280      0.7301300     -5.6720898E-04
   10.61110       1.632840      0.5938400     -9.6767396E-03
   10.58870       1.884400      0.4749700     -2.9528599E-02
   11.36710      0.0000000E+00   1.077980     -6.1762598E-03
   11.34010      0.2840700       1.065830     -5.9625199E-03
   11.31480      0.5718700       1.034870     -5.5978699E-03
   11.28980      0.8622300      0.9790000     -5.1491898E-03
   11.26530       1.150530      0.8887900     -4.2237299E-03
   11.24230       1.426200      0.7594900     -1.4287900E-03
   11.22110       1.679750      0.6210900     -1.0444500E-02
   11.20000       1.941770      0.5042900     -3.0387299E-02
   11.96720      0.0000000E+00   1.114720     -7.8959698E-03
   11.94190      0.2924900       1.102390     -7.5727399E-03
   11.91830      0.5885400       1.070890     -7.3909499E-03
   11.89490      0.8868200       1.014330     -7.2580902E-03
   11.87200       1.183380      0.9221900     -6.4604599E-03
   11.85080       1.465810      0.7882300     -3.4560100E-03
   11.83110       1.727290      0.6484900     -1.2260300E-02
   11.81120       1.999670      0.5340100     -3.2600101E-02
   12.56730      0.0000000E+00   1.149930     -9.0432996E-03
   12.54370      0.3009500       1.137420     -8.8998303E-03
   12.52190      0.6052600       1.105500     -8.9242402E-03
   12.50010      0.9115000       1.048520     -8.7074200E-03
   12.47880       1.216230      0.9547300     -7.4467799E-03
   12.45920       1.505190      0.8165700     -4.0613599E-03
   12.44100       1.775430      0.6760700     -1.3313200E-02
   12.42240       2.058100      0.5641500     -3.4634199E-02
   13.16760      0.0000000E+00   1.183660     -1.0184700E-02
   13.14570      0.3094700       1.170980     -9.6288696E-03
   13.12550      0.6220400       1.138730     -9.4188303E-03
   13.10540      0.9363000       1.081620     -9.0258503E-03
   13.08560       1.249140      0.9864700     -7.7260998E-03
   13.06760       1.544510      0.8447600     -4.2631901E-03
   13.05080       1.824160      0.7038700     -1.4055500E-02
   13.03350       2.117070      0.5947200     -3.6345299E-02
   13.76790      0.0000000E+00   1.215960     -9.4317896E-03
   13.74770      0.3180500       1.203120     -9.1089802E-03
   13.72920      0.6388800       1.170650     -9.1670901E-03
   13.71060      0.9612300       1.113660     -9.3139000E-03
   13.69240       1.282200       1.017420     -8.3969701E-03
   13.67600       1.584000      0.8730000     -4.7656898E-03
   13.66050       1.873500      0.7319300     -1.4858800E-02
   13.64450       2.176590      0.6257200     -3.8154900E-02
   14.36830      0.0000000E+00   1.246880     -7.2372500E-03
   14.34980      0.3266900       1.233890     -7.9289898E-03
   14.33290      0.6558100       1.201290     -8.6453101E-03
   14.31590      0.9863100       1.144670     -9.6598798E-03
   14.29920       1.315420       1.047600     -9.2342095E-03
   14.28430       1.624040      0.9013400     -5.2450001E-03
   14.27020       1.923450      0.7602800     -1.5458300E-02
   14.25550       2.236670      0.6571900     -3.9591201E-02
   14.96880      0.0000000E+00   1.276480     -6.7088902E-03
   14.95190      0.3353900       1.263320     -7.4985400E-03
   14.93670      0.6728500       1.230710     -8.1155803E-03
   14.92120       1.011550       1.174680     -9.4896201E-03
   14.90600       1.348810       1.077020     -9.7917402E-03
   14.89260       1.664730      0.9297400     -5.9033600E-03
   14.87990       1.974030      0.7889700     -1.6230900E-02
   14.86630       2.297320      0.6891300     -4.0909600E-02
   15.56930      0.0000000E+00   1.304790     -8.5725896E-03
   15.55400      0.3441600       1.291480     -8.7546697E-03
   15.54040      0.6900100       1.258950     -9.0025999E-03
   15.52650       1.036970       1.203740     -9.9564400E-03
   15.51280       1.382370       1.105720     -1.0346700E-02
   15.50080       1.706050      0.9582000     -6.6006598E-03
   15.48940       2.025250      0.8180300     -1.7242899E-02
   15.47710       2.358560      0.7215500     -4.2605702E-02
   16.16990      0.0000000E+00   1.331860     -1.0196300E-02
   16.15620      0.3530100       1.318390     -1.0210500E-02
   16.14420      0.7073200       1.286060     -1.0592700E-02
   16.13180       1.062620       1.231880     -1.1407000E-02
   16.11960       1.416130       1.133720     -1.1428500E-02
   16.10890       1.748010      0.9867200     -7.2175199E-03
   16.09890       2.077160      0.8474600     -1.8101700E-02
   16.08780       2.420440      0.7544500     -4.4327199E-02
   16.77060      0.0000000E+00   1.357740     -1.0548900E-02
   16.75840      0.3619400       1.344110     -1.0737500E-02
   16.74800      0.7248100       1.312060     -1.1377600E-02
   16.73700       1.088540       1.259120     -1.2618400E-02
   16.72630       1.450040       1.161100     -1.2824600E-02
